year,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area
1816,Argentina,ARG,Spain,ESP,"Unknown process
(often independences)",1970000,2093164.00
1816,United Kingdom,GBR,Nepal,NPL,"Cession
(part yielded to other entity)",.,1.00
1816,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",.,179.00
1817,France,FRA,United Kingdom,GBR,"Cession
(part yielded to other entity)",100000,7819.00
1817,Russia,RUS,NA,NA,"Conquest
(armed force)",.,650.00
1818,United States,USA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,84240.00
1818,Chile,CHL,Spain,ESP,"Unknown process
(often independences)",1656300,464568.00
1818,United Kingdom,GBR,United States,USA,"Cession
(part yielded to other entity)",.,41600.00
1818,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",.,421200.00
1818,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,16.00
1818,Turkey,TUR,NA,NA,"Cession
(part yielded to other entity)",.,388500.00
1819,United States,USA,Spain,ESP,"Cession
(part yielded to other entity)",54477,186488.00
1819,Colombia,COL,Spain,ESP,"Unknown process
(often independences)",1400000,660760.00
1819,France,FRA,Madagascar,MDG,"Annexation
(unilateral)",.,1.00
1821,Dominican Republic,DOM,Spain,ESP,"Unknown process
(often independences)",89000,48734.00
1821,Mexico,MEX,Spain,ESP,"Unknown process
(often independences)",7000000,1426757.00
1821,Colombia,COL,Spain,ESP,"Conquest
(armed force)",800000,1082207.00
1821,Peru,PER,Spain,ESP,"Unknown process
(often independences)",1929300,1559891.00
1821,Portugal,PRT,Spain,ESP,"Cession
(part yielded to other entity)",70000,269810.00
1822,Colombia,COL,Spain,ESP,"Conquest
(armed force)",600000,550685.00
1822,Turkey,TUR,NA,NA,"Conquest
(armed force)",100000,229471.00
1824,Brazil,BRA,Portugal,PRT,"Unknown process
(often independences)",5306418,8259504.00
1824,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",10000,583.00
1824,United Kingdom,GBR,Netherlands,NLD,"Cession
(part yielded to other entity)",77756,1658.00
1824,Netherlands,NLD,United Kingdom,GBR,"Cession
(part yielded to other entity)",93875,25089.00
1825,Bolivia,BOL,Spain,ESP,"Unknown process
(often independences)",1750000,3016000.00
1825,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",0,48.00
1825,Madagascar,MDG,France,FRA,"Conquest
(armed force)",.,1.00
