year,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area
1946,Syria,SYR,France,FRA,"Unknown process
(often independences)",2978000,184920.00
1946,Lebanon,LBN,France,FRA,"Unknown process
(often independences)",1156000,10400.00
1946,Jordan,JOR,United Kingdom,GBR,"Unknown process
(often independences)",400000,89484.00
1946,Philippines,PHL,United States,USA,"Unknown process
(often independences)",18400000,299404.00
1947,United States,USA,Japan,JPN,"Mandated territory
(by League of Nations or UN)",47000,1779.00
1947,France,FRA,Italy,ITA,"Cession
(part yielded to other entity)",.,1.00
1947,France,FRA,NA,NA,"Annexation
(unilateral)",874000,2567.00
1947,Czechoslovakia,NA,Hungary,HUN,"Cession
(part yielded to other entity)",.,1.00
1947,Albania,ALB,Italy,ITA,"Cession
(part yielded to other entity)",.,5.00
1947,Yugoslavia,NA,Italy,ITA,"Cession
(part yielded to other entity)",.,3600.00
1947,Greece,GRC,Italy,ITA,"Cession
(part yielded to other entity)",115343,2681.00
1947,Russia,RUS,Romania,ROU,"Conquest
(armed force)",3500000,49987.00
1947,Russia,RUS,Finland,FIN,"Cession
(part yielded to other entity)",450000,44104.00
1947,South Africa,ZAF,NA,NA,"Annexation
(unilateral)",0,429.00
1947,India,IND,United Kingdom,GBR,"Unknown process
(often independences)",345000,2729368.00
1947,Pakistan,PAK,United Kingdom,GBR,"Unknown process
(often independences)",72200000,863777.00
1947,Australia,AUS,United Kingdom,GBR,"Cession
(part yielded to other entity)",0,412.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",1124000,1774149.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",292000,743.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",1086000,461541.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",1000000,124000.00
1948,Canada,CAN,United Kingdom,GBR,"Unification
(new entity from 2+ pre-existing)",324000,404519.00
1948,Israel,ISR,United Kingdom,GBR,"Unknown process
(often independences)",782000,12820.00
1948,North Korea,PRK,Russia,RUS,"Unknown process
(often independences)",8000000,121129.00
1948,South Korea,KOR,United States,USA,"Unknown process
(often independences)",20200000,98500.00
1948,Myanmar (Burma),MMR,United Kingdom,GBR,"Unknown process
(often independences)",18100000,678034.00
1948,Sri Lanka,LKA,United Kingdom,GBR,"Unknown process
(often independences)",7244000,65610.00
1949,Netherlands,NLD,NA,NA,"Cession
(part yielded to other entity)",9000,78.00
