year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1902,2,Canada-United States (Alaska [ADM1]) Border,Midpoint of shared (subnational) border,-138.67,59.8283,5,ArcGIS and GADM,Point along a line,,215363,Alaska-Canadian border,"Juneau, Alaska",58.5092,-134.689,4
1913,3,Austria-Yugoslavia Border,Midpoint of shared (national) border,14.911,46.6223,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,196950,Austria's border with Serbia,"Belgrade, Yug",44.8119,20.4656,4
1946,4,Straits of Corfu,Straits of Corfu,19.97,39.77,3,latlong.net,Strait,,186880,Corfu Channel,"Kerkira, GRC",39.62,19.9197,4
1951,7,Suez Canal,Timsah Lake,32.2909,30.5735,5,latlong.net,Point along a line,,173945,Suez canal zone,"Suez canal, UAR",29.9167,32.55,4
1856,8,"Tehran, Iran","Tehran, Iran",51.389,35.6892,8,latlong.net,Capital,,181183,Iran,"Tehran, IRN",35.6719,51.4244,5
1889,9,Mozambique Territorial Waters,Centroid of territorial waters,36.9704,-18.1918,3,ArcGIS and Marine Regions,Territorial waters,,103394,Waters off Mozambique,Maputo,-25.9653,32.5892,4
1938,11,Austria-Germany Border,Midpoint of shared (national) border,9.59932,47.5319,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,198380,Austrian Border,Vienna,48.2,16.3667,4
1938,12,Czechoslovakia-Germany Border,Midpoint of shared (national) border,12.6784,50.4139,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,201986,,ger-cze border,50.5,13,4
1863,13,Japan Territorial Waters,Southernmost point of territorial waters,135.592,34.0405,5,ArcGIS and Marine Regions,Point along a line,,179192,,S. japanese waters,32.13,129.78,5
1895,14,Constantinople,"Istanbul, Turkey",28.9784,41.0082,1,latlong.net,Precise location text,,189058,Constantinople,"Istanbul, TUR",41.0186,28.9647,1
1839,15,Canada (New Brunswick [ADM1])-United States (Maine [ADM1]) Border,Midpoint of shared (subnational) border,-67.7833,46.4598,5,ArcGIS and GADM,Point along a line,,196065,Maine-New Brunswick Border,"Fredericton, CAN",45.95,-66.6333,3
1897,16,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672,5,ArcGIS and Marine Regions,Point along a line,,179899,,straits between jap and kor,35.33,130.38,5
1848,19,AUH-Venetian Border,Midpoint of shared (national) border,11.97,46.83,5,MIDLOC1.1,Point along a line,,196944,,md point of venetian-auh border,46.83,11.97,4
1945,20,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117,5,ArcGIS and GADM,> ADM1,,181905,Northern Iran,"Ardebil, Iran",38.2494,48.3014,3
1912,21,AUH-Serbia Border,Midpoint of shared (national) border,19,45.89,5,MIDLOC1.1,Point along a line,,195519,,md point of serb-auh border,45.89,19,4
1940,22,"Riga, Latvia","Riga, Latvia",24.1052,56.9496,8,latlong.net,Capital,,211369,Latvia,"Riga, Latvia",56.95,24.1,5
1939,23,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,214256,Soviet/Estonian border,"Merimae, Estonia",57.6956,27.4608,4
1831,25,Belgium-Netherlands Border,Midpoint of shared (national) border,5.7297,51.193,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,203412,,md point of NTH-BEL border,51.42,5.279,4
1948,26,"Berlin, Germany","Berlin, Germany",13.405,52.52,1,latlong.net,Precise location text,,205587,.,berlin,52.52,13.38,1
1961,27,"Berlin, Germany","Berlin, Germany",13.405,52.52,1,latlong.net,Precise location text,,205587,.,berlin,52.52,13.38,1
1961,28,"Bizerte, Tunisia","Bizerte, Tunisia",9.86272,37.2746,1,latlong.net,Precise location text,,183260,"Bizerte,Tunisia","Bizerte, Tunisia",37.2744,9.87389,1
1908,30,"Sarajevo, Bosnia","Sarajevo, Bosnia",18.4131,43.8563,8,latlong.net,Capital,,192637,Bosnia,Sarajevo,43.85,18.3833,5
1900,31,Manuchurian Empire,Centroid of ADM0,105.7,37.33,6,MIDLOC1.1,State,,183452,,md point of manchurian empire,37.33,105.7,5
1837,38,"Navy Island, Niagara","Navy Island, Niagara",-79.0108,43.0578,2,latlong.net,Island,,191722,Niagara River,navy island,43.05,-79.0167,4
1928,40,China (Shandong [ADM1]),Centroid of ADM1,118.151,36.352,4,ArcGIS and GADM,ADM1,,182037,Shantung Province Manchuria,Tsinan,36.6683,116.997,3
1929,41,"Harbin, China","Harbin, China",126.535,45.8038,1,latlong.net,Precise location text,,195734,"Harbin, North Manchuria","Harbin, China",45.75,126.65,1
1897,43,"Jiaozhou, China","Jiaozhou, China",120.006,36.2859,1,latlong.net,Precise location text,,182041,Kiaochau,"Kiachow, China",38.0258,110.48,1
1953,50,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,,taiwan straits,24.61,119.9,5
